date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-03-11,28,4,7.1,36.63,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0
2017-03-12,95,22,4.3,22.07,0,0,0.00,0,0,0.00,0,0,0.00,10,1,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,0,2,2,0,2,2,0,2
2017-03-13,12,5,2.5,12.52,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-14,16,1,15.7,79.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-15,13,2,6.6,33.37,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-16,1,3,0.4,1.45,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2017-03-17,138,7,19.7,65.30,0,0,0.00,0,0,0.00,0,0,0.00,30,3,1,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017-03-19,19,7,2.7,12.96,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
2017-03-20,182,13,14.0,64.87,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
2017-03-21,42,6,7.0,33.19,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
