video_title,video_id,video_length_minutes,video_created,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
"Let's Play Series 1, Part 13 — Getting Started with OpenComputers",dKslfPqCB50,23.77,"Apr 06, 2017",416,49,8.5,35.70,0,0,0.00,0,0,0.00,24,0,0.00,40,2,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,7
"Let's Play Series 1, Part 8 — HarvestCraft, Agricraft, and growing things",3bOh7mAZ6Jo,27.03,"Mar 25, 2017",342,42,8.1,30.14,0,0,0.00,0,0,0.00,16,0,0.00,12,3,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,2,3,1,0,0,0,6
"Let's Play Series 1, Part 9 — BigReactors and OpenComputers",9PMZtzljn4o,29.83,"Mar 30, 2017",342,56,6.1,20.48,0,0,0.00,0,0,0.00,10,0,0.00,38,6,1,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,2,4,4,0,0,0,0,6
"Let's Play Series 1, Part 3 — Starting out & Tinker's Construct",YfT7THXgg10,34.48,"Mar 16, 2017",342,31,11.0,31.97,0,0,0.00,0,0,0.00,0,0,0.00,30,4,1,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0,6
"Let's Play Series 1, Part 4 — Early game power creation & storage",7Lg_UfoX528,18.18,"Mar 19, 2017",335,54,6.2,34.16,0,0,0.00,0,0,0.00,0,0,0.00,19,2,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,3,1,2,2,0,0,0,0,6
REo8o_gNMVk,REo8o_gNMVk,,,322,130,2.5,12.81,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,2,1,5,4,3,3,0,5
"Let's Play Series 1, Part 5 — Custom Ore Gen, Mining, and Teleportation",BRJqDdU6yQc,21.97,"Mar 20, 2017",288,42,6.9,31.20,0,0,0.00,0,0,0.00,0,0,0.00,16,2,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,2,5,3,0,0,0,5
"Let's Play Series 1, Part 2 — Forge Microblocks",LDJEe88UAXA,19.82,"Mar 12, 2017",283,45,6.3,31.70,0,0,0.00,0,0,0.00,0,0,0.00,10,2,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,2,3,1,0,0,0,5
"Let's Play Series 1, Part 6 — Getting ready for the Nether",-8663x9fV1o,23.58,"Mar 22, 2017",265,37,7.2,30.36,0,0,0.00,0,0,0.00,14,0,0.00,2,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,4,2,3,1,0,0,0,4
"Let's Play Series 1, Part 10 — Intro to Beekeeping with Forestry",GmOCA1ysQdk,28.80,"Apr 01, 2017",256,26,9.9,34.24,0,0,0.00,0,0,0.00,8,0,0.00,21,1,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,2,3,1,1,0,1,1,0,4
"Let's Play Series 1, Part 14 — Oil Pumping & Refining with BuildCraft and PneumaticCraft",tpCrP6nTbjI,20.23,"Apr 08, 2017",230,44,5.2,25.88,0,0,0.00,0,0,0.00,14,1,7.14,40,3,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,2,2,0,0,0,0,4
