traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Playlists,115,10,11.5,63.07,0,0,0,2
Suggested videos,79,11,7.2,39.46,18,1,0,1
YouTube channels,54,15,3.6,19.74,0,1,0,1
Direct or unknown,25,2,12.6,69.29,0,0,0,0
External,22,2,10.9,59.90,0,0,0,0
Playlist page,19,2,9.3,51.40,0,0,0,0
YouTube search,15,5,3.1,16.92,0,0,0,0
Browse features,7,2,3.3,18.27,0,0,0,0
Other YouTube features,0,4,0.1,0.33,0,0,0,0
Notifications,0,1,0.0,0.00,0,0,0,0
